,rep_0,rep_1
O43847_NRDC,0.3333333333333333,0.24743582965269678
O43852_CALU,0.0,0.6546536707079771
O43865_AHCYL1,,
O43896_KIF1C,0.2165063509461097,0.282842712474619
O43914_TYROBP,,
O43933_PEX1,0.4330127018922193,0.4330127018922193
O43934_MFSD11,,
O60216_RAD21,0.24743582965269678,0.4330127018922193
O60218_AKR1B10,,
O60220_TIMM8A,,
O60229_KALRN,0.0,0.4330127018922193
O60231_DHX16,0.692820323027551,0.5773502691896257
O60237_PPP1R12B,0.0,
O60238_BNIP3L,0.2857142857142857,0.049487165930539354
O60239_SH3BP5,,
O60240_PLIN1,,1.1547005383792515
O60244_MED14,,0.15713484026367724
O60245_PCDH7,,0.6060915267313264
O60256_PRPSAP2,0.2220539539785515,0.3565986956759453
O60262_GNG7,,
O60264_SMARCA5,0.5773502691896257,0.41928916352143275
O60266_ADCY3,,
O60268_KIAA0513,,
O60269_GPRIN2,,
O60271_SPAG9,0.36363636363636365,0.24052284646041733
O60279_SUSD5,0.47140452079103173,0.0
O60291_MGRN1,,
O60292_SIPA1L3,0.49487165930539345,0.47140452079103173
O60293_ZFC3H1,0.6614378277661477,0.6428243465332251
O60296_TRAK2,,
O60299_LZTS3,,
O60303_KATNIP,0.20203050891044216,0.6666666666666666
O60306_AQR,,
O60307_MAST3,0.28641098093474,0.4714045207910316
O60312_ATP10A,,
O60315_ZEB2,0.24743582965269678,0.57282196186948
O60318_MCM3AP,,0.7071067811865476
O60333_KIF1B,0.10188534162169867,0.2
O60336_MAPKBP1,,
O60341_KDM1A,0.40061680838488767,0.18232113763882923
O60343_TBC1D4,0.05587260669577023,0.5567764362830021
O60353_FZD6,,
O60381_HBP1,,0.0
O60437_PPL,0.4,0.4948716593053935
O60447_EVI5,0.0,0.47140452079103173
O60449_LY75,,
O60486_PLXNC1,0.12371791482634839,0.3525058226889108
O60493_SNX3,0.25,0.2165063509461097
O60496_DOK2,0.24743582965269678,0.4330127018922193
O60499_STX10,,
O60502_OGA,0.5094267081084932,0.4330127018922193
O60503_ADCY9,,0.4330127018922193
O60504_SORBS3,0.0625,0.05555555555555555
O60524_NEMF,0.5773502691896257,0.24743582965269678
O60547_GMDS,,
O60565_GREM1,0.0,0.0
O60573_EIF4E2,,
O60583_CCNT2,,0.0
O60613_SELENOF,,
O60641_SNAP91,,
O60645_EXOC3,,
O60658_PDE8A,0.0,0.0
O60664_PLIN3,0.25,0.37749172176353746
O60678_PRMT3,0.47140452079103173,0.5
O60684_KPNA6,,
O60701_UGDH,,
O60711_LPXN,0.15713484026367724,
O60716_CTNND1,0.2880295037820034,0.4923428432597184
O60749_SNX2,0.07530655685082076,0.15745916432444343
O60759_CYTIP,0.47140452079103173,
O60763_USO1,0.30136408628102984,0.301226227403283
O60784_TOM1,0.27712812921102037,0.1111111111111111
O60825_PFKFB2,0.26646935501059654,0.15745916432444343
O60832_DKC1,0.5678908345800273,0.24956709924231088
O60841_EIF5B,0.5094267081084932,0.282842712474619
O60861_GAS7,0.47140452079103173,0.4330127018922193
